Local,Ano,Morte5
FRANCA,2000,"19,96"
FRANCA,2010,"16,03"
FRANCISCO MORATO,1991,"41,89"
FRANCISCO MORATO,2000,"25,85"
FRANCISCO MORATO,2010,"19,05"
FRANCO DA ROCHA,1991,"31,94"
FRANCO DA ROCHA,2000,"26,00"
FRANCO DA ROCHA,2010,"15,18"
GABRIEL MONTEIRO,1991,"31,26"
GABRIEL MONTEIRO,2000,"27,17"
GABRIEL MONTEIRO,2010,"19,77"
GARÇA,1991,"31,32"
GARÇA,2000,"22,86"
GARÇA,2010,"15,43"
GASTÃO VIDIGAL,1991,"37,77"
GASTÃO VIDIGAL,2000,"25,57"
GASTÃO VIDIGAL,2010,"18,83"
GAVIÃO PEIXOTO,1991,"34,57"
GAVIÃO PEIXOTO,2000,"24,50"
GAVIÃO PEIXOTO,2010,"20,56"
GENERAL SALGADO,1991,"37,39"
GENERAL SALGADO,2000,"26,88"
GENERAL SALGADO,2010,"19,85"
GETULINA,1991,"37,39"
GETULINA,2000,"25,75"
GETULINA,2010,"19,35"
GLICÉRIO,1991,"35,65"
GLICÉRIO,2000,"20,23"
GLICÉRIO,2010,"14,56"
GUAIMBÊ,1991,"32,50"
GUAIMBÊ,2000,"25,10"
GUAIMBÊ,2010,"17,47"
GUAIÇARA,1991,"29,61"
GUAIÇARA,2000,"25,90"
GUAIÇARA,2010,"15,07"
GUAPIARA,1991,"44,36"
GUAPIARA,2000,"28,32"
GUAPIARA,2010,"20,09"
GUAPIAÇU,1991,"28,55"
GUAPIAÇU,2000,"16,92"
GUAPIAÇU,2010,"13,80"
GUARACI,1991,"35,21"
GUARACI,2000,"23,28"
GUARACI,2010,"16,39"
GUARANI D'OESTE,1991,"32,73"
GUARANI D'OESTE,2000,"24,86"
GUARANI D'OESTE,2010,"20,15"
GUARANTÃ,1991,"42,29"
GUARANTÃ,2000,"27,87"
GUARANTÃ,2010,"17,17"
GUARARAPES,1991,"25,97"
GUARARAPES,2000,"24,10"
GUARARAPES,2010,"16,35"
GUARAREMA,1991,"37,96"
GUARAREMA,2000,"21,85"
GUARAREMA,2010,"18,82"
GUARATINGUETÁ,1991,"28,75"
GUARATINGUETÁ,2000,"21,23"
GUARATINGUETÁ,2010,"10,11"
GUARAÇAÍ,1991,"31,15"
GUARAÇAÍ,2000,"28,33"
GUARAÇAÍ,2010,"20,45"
GUAREÍ,1991,"37,52"
GUAREÍ,2000,"22,47"
GUAREÍ,2010,"20,30"
GUARIBA,1991,"31,91"
GUARIBA,2000,"27,41"
GUARIBA,2010,"19,59"
GUARUJÁ,1991,"37,52"
GUARUJÁ,2000,"24,80"
GUARUJÁ,2010,"14,80"
GUARULHOS,1991,"31,94"
GUARULHOS,2000,"22,29"
GUARULHOS,2010,"15,47"
GUARÁ,1991,"31,53"
GUARÁ,2000,"28,36"
GUARÁ,2010,"17,86"
GUATAPARÁ,1991,"33,64"
GUATAPARÁ,2000,"21,24"
GUATAPARÁ,2010,"18,24"
GUAÍRA,1991,"31,24"
GUAÍRA,2000,"20,72"
GUAÍRA,2010,"18,02"
GUZOLÂNDIA,1991,"37,85"
GUZOLÂNDIA,2000,"23,06"
GUZOLÂNDIA,2010,"19,85"
GÁLIA,1991,"43,48"
GÁLIA,2000,"29,71"
GÁLIA,2010,"18,21"
HERCULÂNDIA,1991,"36,38"
HERCULÂNDIA,2000,"22,09"
HERCULÂNDIA,2010,"19,81"
HOLAMBRA,1991,"27,40"
HOLAMBRA,2000,"17,23"
HOLAMBRA,2010,"11,71"
HORTOLÂNDIA,1991,"27,28"
HORTOLÂNDIA,2000,"22,31"
HORTOLÂNDIA,2010,"14,13"
IACANGA,1991,"26,12"
IACANGA,2000,"17,81"
IACANGA,2010,"14,15"
IACRI,1991,"28,66"
IACRI,2000,"20,59"
IACRI,2010,"14,61"
IARAS,1991,"41,15"
IARAS,2000,"27,73"
IARAS,2010,"15,54"
IBATÉ,1991,"31,65"
IBATÉ,2000,"24,16"
IBATÉ,2010,"19,24"
IBIRAREMA,1991,"32,91"
IBIRAREMA,2000,"24,00"
IBIRAREMA,2010,"18,84"
IBIRÁ,1991,"23,62"
IBIRÁ,2000,"20,53"
IBIRÁ,2010,"16,22"
IBITINGA,1991,"25,97"
IBITINGA,2000,"21,39"
IBITINGA,2010,"15,73"
IBIÚNA,1991,"34,77"
IBIÚNA,2000,"20,45"
IBIÚNA,2010,"17,97"
ICÉM,1991,"38,35"
ICÉM,2000,"25,15"
ICÉM,2010,"20,16"
IEPÊ,1991,"35,75"
IEPÊ,2000,"28,01"
IEPÊ,2010,"19,17"
IGARAPAVA,1991,"31,53"
IGARAPAVA,2000,"20,49"
IGARAPAVA,2010,"15,66"
IGARATÁ,1991,"25,03"
IGARATÁ,2000,"23,90"
IGARATÁ,2010,"14,85"
IGARAÇU DO TIETÊ,1991,"30,21"
IGARAÇU DO TIETÊ,2000,"25,90"
IGARAÇU DO TIETÊ,2010,"16,53"
IGUAPE,1991,"32,39"
IGUAPE,2000,"23,58"
IGUAPE,2010,"15,60"
ILHA COMPRIDA,1991,"36,38"
ILHA COMPRIDA,2000,"22,02"
ILHA COMPRIDA,2010,"18,20"
ILHA SOLTEIRA,1991,"22,43"
ILHA SOLTEIRA,2000,"15,10"
ILHA SOLTEIRA,2010,"13,34"
ILHABELA,1991,"37,90"
ILHABELA,2000,"19,88"
ILHABELA,2010,"14,85"
INDAIATUBA,1991,"26,46"
INDAIATUBA,2000,"20,30"
INDAIATUBA,2010,"15,51"
INDIANA,1991,"31,83"
INDIANA,2000,"19,91"
INDIANA,2010,"16,08"
INDIAPORÃ,1991,"38,77"
INDIAPORÃ,2000,"23,77"
INDIAPORÃ,2010,"16,86"
INÚBIA PAULISTA,1991,"29,65"
INÚBIA PAULISTA,2000,"21,99"
INÚBIA PAULISTA,2010,"15,42"
IPAUSSU,1991,"34,66"
IPAUSSU,2000,"20,32"
IPAUSSU,2010,"17,67"
IPERÓ,1991,"35,28"
IPERÓ,2000,"31,58"
IPERÓ,2010,"19,16"
IPEÚNA,1991,"24,39"
IPEÚNA,2000,"16,88"
IPEÚNA,2010,"14,61"
IPIGUÁ,1991,"26,97"
IPIGUÁ,2000,"21,53"
IPIGUÁ,2010,"16,47"
IPORANGA,1991,"47,68"
IPORANGA,2000,"28,32"
IPORANGA,2010,"18,96"
IPUÃ,1991,"37,52"
IPUÃ,2000,"22,28"
IPUÃ,2010,"15,49"
IRACEMÁPOLIS,1991,"22,26"
IRACEMÁPOLIS,2000,"20,42"
IRACEMÁPOLIS,2010,"12,99"
IRAPURU,1991,"31,05"
IRAPURU,2000,"22,17"
IRAPURU,2010,"16,47"
IRAPUÃ,1991,"29,82"
IRAPUÃ,2000,"26,90"
IRAPUÃ,2010,"15,96"
ITABERÁ,1991,"36,43"
ITABERÁ,2000,"22,52"
ITABERÁ,2010,"20,47"
ITAJOBI,1991,"29,58"
ITAJOBI,2000,"20,53"
ITAJOBI,2010,"17,17"
ITAJU,1991,"34,27"
ITAJU,2000,"20,81"
ITAJU,2010,"18,16"
ITANHAÉM,1991,"40,44"
ITANHAÉM,2000,"26,08"
ITANHAÉM,2010,"18,20"
ITAPECERICA DA SERRA,1991,"36,16"
ITAPECERICA DA SERRA,2000,"22,38"
ITAPECERICA DA SERRA,2010,"15,09"
ITAPETININGA,1991,"37,69"
ITAPETININGA,2000,"24,81"
ITAPETININGA,2010,"13,86"
ITAPEVA,1991,"44,36"
ITAPEVA,2000,"27,03"
ITAPEVA,2010,"20,48"
ITAPEVI,1991,"32,82"
ITAPEVI,2000,"26,24"
ITAPEVI,2010,"14,50"
ITAPIRA,1991,"31,93"
