Cod_UDH,Local,Municipio,Ano,Morte5
1351840400022,Alto Pedregulho / Pedregulho,Guaratinguetá (SP),2000,18.42
1351840400022,Alto Pedregulho / Pedregulho,Guaratinguetá (SP),2010,11.45
1352020200001,Igaratá,Igaratá (SP),2000,25.97
1352020200001,Igaratá,Igaratá (SP),2010,16.54
1352040000001,Paranabi / Cambaquara / Ilhabela,Ilhabela (SP),2000,19.88
1352040000001,Paranabi / Cambaquara / Ilhabela,Ilhabela (SP),2010,14.85
1352440200001,Cidade Jardim / Centro / Jardim Santa Maria : Prefeitura Municipal / Parque da Cidade,Jacareí (SP),2000,14.1
1352440200001,Cidade Jardim / Centro / Jardim Santa Maria : Prefeitura Municipal / Parque da Cidade,Jacareí (SP),2010,9.04
1352440200002,Jardim Coleginho / Jardim das Oliveiras : Cemitério Jardim da Paz,Jacareí (SP),2000,14.1
1352440200002,Jardim Coleginho / Jardim das Oliveiras : Cemitério Jardim da Paz,Jacareí (SP),2010,9.04
1352440200003,Terras de São João / Terras de Santa Helena : Sesi,Jacareí (SP),2000,14.25
1352440200003,Terras de São João / Terras de Santa Helena : Sesi,Jacareí (SP),2010,10.26
1352440200004,Villa Branca / Jardim Marcondes / Jardim Luiza / Altos De Santana / Mirante do Vale : Estádio do Jac,Jacareí (SP),2000,14.1
1352440200004,Villa Branca / Jardim Marcondes / Jardim Luiza / Altos De Santana / Mirante do Vale : Estádio do Jac,Jacareí (SP),2010,9.51
1352440200005,Condomínio Lagoinha,Jacareí (SP),2000,14.02
1352440200005,Condomínio Lagoinha,Jacareí (SP),2010,9.04
1352440200006,Jardim Flórida / Jardim Siesta,Jacareí (SP),2000,14.1
1352440200006,Jardim Flórida / Jardim Siesta,Jacareí (SP),2010,9.51
1352440200007,Zona Rural / Represa Santa Branca : Fibria,Jacareí (SP),2000,28.15
1352440200007,Zona Rural / Represa Santa Branca : Fibria,Jacareí (SP),2010,19.44
1352440200008,Parateí / Represa Jaguari / Recanto dos Pássaros : Ambev,Jacareí (SP),2000,25.97
1352440200008,Parateí / Represa Jaguari / Recanto dos Pássaros : Ambev,Jacareí (SP),2010,19.44
1352440200009,22 de Abril / Zona Rural,Jacareí (SP),2000,29.79
1352440200009,22 de Abril / Zona Rural,Jacareí (SP),2010,26.35
1352440200010,Igarapés / Bela Vista / 1° De Maio,Jacareí (SP),2000,29.79
1352440200010,Igarapés / Bela Vista / 1° De Maio,Jacareí (SP),2010,26.35
